"Timestamp","Action","Class","From","To","SHA256"
"20260122-071728","MOVE","normative","C:\unificard\docs\contracts\CONTRATO_EVENTOS_V1.md","C:\unificard\docs\01_normative\CONTRATO_EVENTOS_V1.md","559D60736049E15D715F60F0178B148553F8BC0046E8EAF1B1D28FBB03B886D4"
"20260122-071728","MOVE","normative","C:\unificard\docs\contracts\CONTRATO_GRUPOS_V1.md","C:\unificard\docs\01_normative\CONTRATO_GRUPOS_V1.md","326F40E42FE2F4D659935D18FCB1C0D912F0A58167667191730D39308F3F4F17"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\CORRECAO_AUTOCOMPLETE_CATEGORIAS.md","C:\unificard\docs\02_decisions\CORRECAO_AUTOCOMPLETE_CATEGORIAS.md","06B739592EEAF7AB4B12507E0D8D5FB12D4F85A8E23BB2283786443FE6012A6D"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\CORRECAO_INDEX_IDEMPOTENTE.md","C:\unificard\docs\02_decisions\CORRECAO_INDEX_IDEMPOTENTE.md","8C218FC0C309083D6E65753B1033DCF4A25C1AB2B9D8A48F2ED21AE0B2F10481"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\CORRECAO_RBAC_IDEMPOTENTE.md","C:\unificard\docs\02_decisions\CORRECAO_RBAC_IDEMPOTENTE.md","4C9A4A9BDDA41AF563B1E9D437B8EF38672611904840B150055B5F8A7B174000"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\CORRECAO_VALIDACAO_EMPRESAS.md","C:\unificard\docs\02_decisions\CORRECAO_VALIDACAO_EMPRESAS.md","91B5CCCB6E9C98C8B58E62EFE170E9D7777DC3852D5BD332BF02C24D5F56A07A"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\CORRECOES_ESTRUTURAIS.md","C:\unificard\docs\02_decisions\CORRECOES_ESTRUTURAIS.md","5631DE01D75B7AE460EF1AA8188BC4F729152188F57776E2EE7E0D0232086E30"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\edge_cases_eventos.md","C:\unificard\docs\02_decisions\edge_cases_eventos.md","3ABC8CCCDE0EDD17ABA00D16A3EF8C4EF967C7C2EBB27AC1886395A36C5D22C1"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\estado_atual_modulo_eventos.md","C:\unificard\docs\02_decisions\estado_atual_modulo_eventos.md","A4CA460D6B6EEE5C1BD25B5A59C94D5C11091B1F4932C25BBC496B01CD3F144C"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\fluxo_visual_dinheiro.md","C:\unificard\docs\02_decisions\fluxo_visual_dinheiro.md","D89B5E188861A6EF0B58EA8DA77BD0E5545FB10A7F0C16FB0CEAFE7718FFBE23"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\implementacao_identity_status_gate.md","C:\unificard\docs\02_decisions\implementacao_identity_status_gate.md","1ADBDC4DEFB1A781BC531C15C76F1A9006573AAB63C41C472ADFA66765E8CB4B"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\mapeamento_autenticacao_fase3.md","C:\unificard\docs\02_decisions\mapeamento_autenticacao_fase3.md","E3F2866BF289039E6F7B67C741ADEF54B4A33517346D1E3B9B6E1F7C41431A8A"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\profiles.md","C:\unificard\docs\02_decisions\profiles.md","B1776FAD2EB4EB1A760B4DA28D9005DDCA22F1D713EFDF76BDADCBA954570664"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\proposta_step2_intencao_final.md","C:\unificard\docs\02_decisions\proposta_step2_intencao_final.md","AD1CEA7B3EDE24978639EF6E98EEC2DDA41465729CF3D4D47D31CB42C4105FDA"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\spec_dashboard_confianca.md","C:\unificard\docs\02_decisions\spec_dashboard_confianca.md","9FCE922D10F9C4619E7E85CA8F9942CCB0DE3AA783DE1ADA6FDE6A0A1583D962"
"20260122-071728","MOVE","decisions","C:\unificard\docs\decisions\status_atual_projeto.md","C:\unificard\docs\02_decisions\status_atual_projeto.md","A7F6EFC3A15834812730CF7ED94AEA518EF225328E278801579767E9DA7DB3A9"
"20260122-071728","MOVE","technical","C:\unificard\docs\dev\PROPERTY_CATEGORY_HIERARCHY_IDEMPOTENT_STATUS.md","C:\unificard\docs\03_technical\PROPERTY_CATEGORY_HIERARCHY_IDEMPOTENT_STATUS.md","64FD64BCAF1936F4A0A5FCCD2E3814B9910C3BA2B21F9FE3FB4EA9DA03F7FC3F"
"20260122-071728","MOVE","guides","C:\unificard\docs\dev\readme_auto_start.md","C:\unificard\docs\04_guides\readme_auto_start.md","856E719DAE9827228CEB7A80FC473CD5DBEA293C4FC5B0F4B699D469250D93B5"
"20260122-071728","MOVE","technical","C:\unificard\docs\dev\scripts\solucao_rapida.ps1","C:\unificard\docs\03_technical\solucao_rapida.ps1","B80226BEEA3460242A06D14748D5F4357BCAF538EAE21E5B708E42C5AC9FD97A"
"20260122-071728","MOVE","technical","C:\unificard\docs\dev\sql\archive-non-professions.sql","C:\unificard\docs\03_technical\archive-non-professions.sql","265FABFD52F61C5E2486C054378D0248F5BC06582BA4DC050CD2DD21706A0044"
"20260122-071728","MOVE","decisions","C:\unificard\docs\FRONTEND\00_CONTRATOS_DE_EXPERIENCIA\PADRAO_FRONTEND_CANONICO.md","C:\unificard\docs\02_decisions\PADRAO_FRONTEND_CANONICO.md","46FAC200522FC97F87EC23AABFAD1D3B333D4189382BFC40BB11BB91CB0329E8"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\backend-error.log","C:\unificard\docs\03_technical\backend-error.log","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\backend-output.log","C:\unificard\docs\03_technical\backend-output.log","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\backend-ts-errors.txt","C:\unificard\docs\03_technical\backend-ts-errors.txt","CDD84D78A6D30928A5550AEAF11C2DDAF0FF0DC2B30CC8C9ACE2906CBDC38704"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\changelog_recente.md","C:\unificard\docs\03_technical\changelog_recente.md","F4A02B2166A50D77735B944CCDECEA106D37B5E490D0D439A2F8A2DDB36CFCF0"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\erro_corrigido.md","C:\unificard\docs\03_technical\erro_corrigido.md","5738CD27940DEBFCA5702DB4BB205738D664B7167932503D439B5D0B3336F812"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\fluxo_visual_dinheiro_duplicado.md","C:\unificard\docs\03_technical\fluxo_visual_dinheiro_duplicado.md","7CB62D2CF53871DD5DB0B645F4C79AAD6EB0A146B437A25CAFEC5BCDD329B8C2"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\frontend-ts-errors.txt","C:\unificard\docs\03_technical\frontend-ts-errors.txt","423A2E44BFB1306DCFCA9F24397F73E5C21D630787B7561C19C9AEEA780A155F"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\guia_comparacao_zip_claudia.md","C:\unificard\docs\03_technical\guia_comparacao_zip_claudia.md","7837054F1FDCCF410030238BBFBBB3C08D73135A65511F1CA9422F0AF5734AC4"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\higiene_repositorio_relatorio.md","C:\unificard\docs\03_technical\higiene_repositorio_relatorio.md","E857712BBCB9B841B99A3867C59F1EEA9DE1BC367AB517476C31D62F9541ED1D"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\primeira_tarefa_planejamento.md","C:\unificard\docs\03_technical\primeira_tarefa_planejamento.md","6E613300D636CDC94D57CA729309A14D041DA79A60B3642C9AF3DE4E7EE3F654"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\problema_resolvido.md","C:\unificard\docs\03_technical\problema_resolvido.md","E9B04EA76AC6697A96268774A9E82FE1855F18EF60CE22C89C70142191015811"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\relatorio_passo_3_3.md","C:\unificard\docs\03_technical\relatorio_passo_3_3.md","E574B53023F3390EEF2434CEDAAA58D182E0C401DFE2AE99EA87094D55ED96FC"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\resumo_correcoes_bootstrap.md","C:\unificard\docs\03_technical\resumo_correcoes_bootstrap.md","36E3EE24503F2E3A5C2DC637BD97288D93B0ECD9A3162E2B3879952DC0C36457"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\resumo_correcoes_finais.md","C:\unificard\docs\03_technical\resumo_correcoes_finais.md","89139692D6336CB7DADE2FB6A7A96FCAAFC81DE67AD79D51FC4BD88A49A89C87"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\resumo_para_continuidade.md","C:\unificard\docs\03_technical\resumo_para_continuidade.md","8E5F3073D2866B23519A3B04B8AF22EFB822BB2B02054F05EFA3A8450922628F"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\resumo_problema_backend.txt","C:\unificard\docs\03_technical\resumo_problema_backend.txt","7B7731813DF8B08407EA09D0223504B1FE54AE47C8244F097617D557281FFC57"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\resumo_sistema_auto_start.md","C:\unificard\docs\03_technical\resumo_sistema_auto_start.md","DA45B31F4B63B5DDECCD6B362C5F6D7127489E3DCF5EB5C65D0CE4E2CE419752"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\solucao_rapida.md","C:\unificard\docs\03_technical\solucao_rapida.md","709EE8E1F3A9ED5FEB0107030B3CB54ED376B9038CA6E4462F4494BAFBA28D3D"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\ts-errors.txt","C:\unificard\docs\03_technical\ts-errors.txt","06E0A7ED9514024697E35616B3A2E4725C1ADF324C7DFB4171610A97B699E637"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\typescript-errors.log","C:\unificard\docs\03_technical\typescript-errors.log","7C94A0C1F54DD9BAE8A6B94111D866A3ED30DE6EA64B10E7154AC66013E01614"
"20260122-071728","MOVE","technical","C:\unificard\docs\_archive\veredito_aplicado.md","C:\unificard\docs\03_technical\veredito_aplicado.md","6764FF0555C99833E77BBDD22EAD634F516263F971BEA56B50D5454044C15AAF"
