"FileName","FullPath","Class","SizeKB","LastChange","Reasons"
"SPRINT_93_LOYALTY.md","C:\unificard\docs\SPRINT_93_LOYALTY.md","decisions","12,05","16/01/2026 21:35:30","decision-operational"
"SPRINT_94_PRESENCA_CHECKIN_PROMO.md","C:\unificard\docs\SPRINT_94_PRESENCA_CHECKIN_PROMO.md","decisions","10,86","16/01/2026 21:35:30","decision-operational"
"SPRINT_95_LOCAL_CHAT_LIVE_PRESENCE.md","C:\unificard\docs\SPRINT_95_LOCAL_CHAT_LIVE_PRESENCE.md","decisions","11,04","16/01/2026 21:35:30","decision-operational"
"validacao_ambiente_final.md","C:\unificard\docs\checklist\validacao_ambiente_final.md","decisions","3,31","03/01/2026 04:35:16","decision-operational"
"validacao_final_completa.md","C:\unificard\docs\checklist\validacao_final_completa.md","decisions","6,48","03/01/2026 04:35:16","decision-operational"
"validacao_pos_implementacao.md","C:\unificard\docs\checklist\validacao_pos_implementacao.md","decisions","7,85","03/01/2026 04:35:16","decision-operational"
"comando_para_cursor.txt","C:\unificard\docs\prompts\comando_para_cursor.txt","guides","1,55","03/01/2026 04:35:16","guide-disposable"
"CURSOR_PROMPT_FASE0_METADATA.md","C:\unificard\docs\prompts\CURSOR_PROMPT_FASE0_METADATA.md","guides","2,15","29/12/2025 22:40:01","guide-disposable"
"guia_correcao_cursor.md","C:\unificard\docs\prompts\guia_correcao_cursor.md","guides","2,75","03/01/2026 04:35:16","guide-disposable"
"instrucoes_cursor_final.md","C:\unificard\docs\prompts\instrucoes_cursor_final.md","guides","3,88","28/12/2025 23:32:28","guide-disposable"
"PROMPT_CURSOR_CPF_BLINDAGEM.md","C:\unificard\docs\prompts\PROMPT_CURSOR_CPF_BLINDAGEM.md","guides","12,87","03/01/2026 07:35:19","guide-disposable"
"PROMPT_CURSOR_GRUPOS_ECONOMICOS (1).md","C:\unificard\docs\prompts\PROMPT_CURSOR_GRUPOS_ECONOMICOS (1).md","guides","10,24","03/01/2026 01:40:16","guide-disposable"
"PROMPT_CURSOR_GRUPOS_ECONOMICOS.md","C:\unificard\docs\prompts\PROMPT_CURSOR_GRUPOS_ECONOMICOS.md","guides","10,24","03/01/2026 01:08:02","guide-disposable"
"PROMPT_CURSOR_SEGURANCA_CPF.md","C:\unificard\docs\prompts\PROMPT_CURSOR_SEGURANCA_CPF.md","guides","7,01","03/01/2026 07:13:51","guide-disposable"
"PROMPT_CURSOR_SPLIT_CORRECOES (1).md","C:\unificard\docs\prompts\PROMPT_CURSOR_SPLIT_CORRECOES (1).md","guides","4,33","03/01/2026 01:41:44","guide-disposable"
"PROMPT_CURSOR_SPLIT_CORRECOES.md","C:\unificard\docs\prompts\PROMPT_CURSOR_SPLIT_CORRECOES.md","guides","4,33","03/01/2026 01:01:41","guide-disposable"
"QUICK_START.md","C:\unificard\docs\QUICK_START.md","guides","2,17","20/01/2026 03:46:50","guide-disposable"
"readme_auto_start.md","C:\unificard\docs\04_guides\readme_auto_start.md","guides","3,53","03/01/2026 04:35:16","guide-disposable"
"resumo_sistema_auto_start.md","C:\unificard\docs\03_technical\resumo_sistema_auto_start.md","guides","4,82","03/01/2026 04:35:16","guide-disposable"
